Time,Back surface temperature
[s],[K]
1,296.865
2,296.829
3,296.786
4,296.759
5,296.736
6,296.724
7,296.689
8,296.664
9,296.662
10,296.659
11,296.647
12,296.638
13,296.647
14,296.667
15,296.661
16,296.697
17,296.728
18,296.772
19,296.842
20,296.901
21,297.013
22,297.125
23,297.393
24,297.607
25,297.717
26,297.861
27,298
28,298.144
29,298.292
30,298.435
31,298.609
32,298.786
33,298.959
34,299.14
35,299.311
36,299.515
37,299.707
38,299.894
39,300.11
40,300.299
41,300.491
42,300.705
43,300.935
44,301.154
45,301.374
46,301.612
47,301.828
48,302.067
49,302.311
50,302.548
51,302.793
52,303.055
53,303.311
54,303.592
55,303.827
56,304.106
57,304.372
58,304.653
59,304.907
60,305.21
61,305.483
62,305.78
63,306.045
64,306.332
65,306.631
66,306.925
67,307.232
68,307.534
69,307.842
70,308.191
71,308.528
72,308.87
73,309.217
74,309.582
75,309.972
76,310.37
77,310.77
78,311.215
79,311.628
80,312.06
81,312.513
82,312.989
83,313.486
84,314.006
85,314.512
86,315.07
87,315.61
88,316.178
89,316.73
90,317.363
91,317.984
92,318.633
93,319.326
94,319.988
95,320.696
96,321.425
97,322.202
98,322.986
99,323.799
100,324.633
101,325.489
102,326.369
103,327.281
104,328.183
105,329.079
106,330.031
107,330.831
108,331.623
109,332.389
110,333.339
111,334.364
112,335.177
113,335.938
114,336.91
115,337.91
116,338.933
117,340.121
118,341.47
119,342.708
120,344.026
121,345.401
122,345.364
123,345.82
124,347.013
125,348.597
126,349.896
127,351.037
128,352.342
129,353.804
130,355.413
131,357.74
132,358.923
133,359.54
134,360.127
135,360.787
136,361.398
137,362.049
138,362.588
139,363.096
140,363.583
141,364.192
142,364.802
143,365.183
144,365.567
145,365.753
146,366.122
147,366.229
148,365.303
149,363.389
150,361.031
151,358.765
152,356.014
153,354.068
154,351.694
155,349.59
156,347.637
157,345.439
158,343.598
159,341.943
160,340.466
161,339.226
162,338.198
163,337.32
164,336.618
165,336.01
166,335.466
167,335.091
168,334.738
169,334.434
170,334.214
171,333.994
172,333.841
173,333.664
174,333.509
175,333.419
176,333.31
177,333.163
178,332.935
179,332.789
180,332.678
181,332.595
182,332.506
183,332.429
184,332.384
185,332.329
186,332.308
187,332.288
188,332.267
189,332.291
190,332.308
191,332.327
192,332.363
193,332.393
194,332.427
195,332.495
196,332.55
197,332.618
198,332.706
199,332.786
200,332.931
201,333.044
202,333.112
203,333.248
204,333.357
205,333.489
206,333.632
207,333.783
208,333.912
209,334.064
210,334.212
211,334.368
212,334.477
213,334.633
214,334.777
215,334.892
216,335.01
217,335.173
218,335.187
219,335.181
220,335.286
221,335.415
222,335.546
223,335.698
224,335.91
225,336.11
226,336.263
227,336.489
228,336.699
229,336.958
230,337.24
231,337.527
232,337.801
233,338.084
234,338.433
235,338.803
236,339.135
237,339.52
238,339.882
239,340.255
240,340.533
241,340.713
242,340.952
243,341.151
244,341.384
245,341.639
246,341.751
247,341.886
248,342.138
249,342.356
250,342.5
251,342.641
252,342.772
253,342.911
254,343.084
255,343.228
256,343.391
257,343.57
258,343.755
259,343.956
260,344.149
261,344.333
262,344.581
263,344.799
264,345.024
265,345.193
266,345.39
267,345.681
268,346.043
269,346.506
270,347.08
271,347.629
272,348.287
273,349.587
274,351.37
275,352.79
276,354.133
277,355.541
278,357.03
279,358.423
280,359.972
281,362.766
282,366.292
283,376.336
284,378.719
285,379.799
286,380.7
287,380.711
288,380.486
289,380.221
290,380.165
291,380.838
292,381.829
293,382.187
294,382.881
295,383.478
296,384.37
297,385.558
298,386.076
299,387.409
300,388.369
301,388.853
302,388.794
303,389.154
304,389.846
305,390.762
306,391.316
307,391.607
308,392.089
309,392.859
310,393.415
311,394.019
312,394.72
313,395.697
314,395.642
315,395.852
316,396.865
317,397.8
318,399.366
319,400.327
320,401.1
321,402.01
322,402.961
323,403.639
324,404.834
325,406.475
326,408.192
327,410.492
328,414.008
329,419.932
330,428.389
331,434.744
332,438.484
333,443.206
334,453.491
335,459.805
336,464.678
337,470.416
338,476.386
339,480.714
340,484.557
341,487.294
342,489.423
343,491.34
344,492.981
345,495.724
346,498.354
347,501.013
348,504.025
349,507.212
350,516.525
351,519.698
352,522.599
353,525.293
354,528.188
355,530.525
356,532.567
357,535.319
358,536.652
359,537.911
360,539.32
361,538.486
362,538.564
363,538.956
364,540.33
365,543.158
366,545.371
367,547.322
368,546.252
369,546.526
370,547.067
371,549.149
372,553.033
373,555.857
374,558.283
375,560.574
376,562.085
377,564.075
378,566.641
379,568.683
380,570.379
381,570.934
382,572.85
383,575.352
384,576.579
385,578.937
386,581.234
387,579.762
388,572.239
389,576.088
390,559.529
391,553.373
392,545.639
393,542.434
394,540.922
395,543.772
396,547.686
397,553.93
398,559.402
399,558.815
400,557.597
401,554.985
402,551.815
403,548.1
404,545.659
405,543.242
406,541.505
407,541.036
408,540.059
409,539.385
410,539.998
411,539.315
412,539.208
413,539.338
414,539.875
415,539.686
416,539.819
417,540.144
418,540.675
419,540.275
420,540.62
421,540.257
422,541.278
423,541.997
424,541.268
425,541.28
426,542.237
427,541.893
428,542.351
429,543.542
430,544.515
431,544.389
432,543.871
433,543.835
434,544.708
435,545.498
436,546.156
437,546.876
438,547.483
439,547.434
440,547.721
441,548.361
442,548.441
443,549.001
444,549.425
445,548.861
446,549.398
447,550.023
448,550.439
449,550.245
450,550.378
451,550.595
452,551.476
453,552.103
454,553.22
455,554.054
456,554.341
457,554.895
458,554.47
459,555.352
460,554.921
461,555.227
462,555.632
463,556.033
464,556.906
465,557.783
466,558.717
467,558.014
468,558.059
469,558.553
470,559.188
471,559.412
472,559.165
473,559.205
474,560.032
475,560.913
476,560.584
477,560.976
478,561.199
479,560.882
480,562.28
481,562.936
482,562.67
483,562.967
484,563.15
485,563.676
486,564.324
487,565.016
488,565.805
489,565.437
490,565.447
491,566.121
492,565.978
493,566.645
494,566.914
495,567.505
496,567.396
497,568.408
498,569.417
499,570.074
500,570.223
501,569.372
502,570.385
503,570.398
504,570.509
505,571.693
506,572.052
507,572.291
508,572.197
509,572.003
510,572.59
511,573.253
512,572.931
513,572.602
514,572.564
515,573.044
516,573.142
517,573.554
518,574.392
519,574.062
520,574.657
521,574.977
522,575.188
523,575.235
524,575.545
525,576.335
526,576.953
527,576.849
528,577.405
529,577.196
530,577.301
531,578.167
532,577.697
533,578.047
