Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 2,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K],[K]
0,70.44811,0.139230835,308.8,307.1,307.1
1,70.35936,0.23089403,309.1,307.3,307.4
2,70.19916,0.454309276,309.4,307.7,307.7
3,70.10478,-0.133045429,309.6,308,308.2
4,70.13483,-0.524789198,310.1,308.4,308.6
5,70.09248,-0.794571994,310.4,308.8,309
6,70.04514,-0.931449869,310.7,309.3,309.5
7,70.08791,-0.907997442,311.1,309.7,310
8,70.25758,0.130608524,311.6,310.2,310.5
9,70.11897,0.343974553,312,310.7,311.1
10,70.22326,0.126249733,312.6,311.3,311.7
11,70.28271,-0.022041403,313.1,311.8,312.3
12,70.45176,-0.036423437,313.6,312.4,313
13,70.27208,0.171147372,314.2,313,313.5
14,70.13999,0.492223841,314.8,313.5,314.2
15,70.01445,0.463102428,315.5,314.1,315
16,70.33007,-0.119136798,316.1,314.7,315.9
17,70.22996,-1.279678496,316.8,315.3,316.6
18,70.10614,-1.784051056,317.5,315.9,317.4
19,70.07577,-2.538288616,318.2,316.6,318.3
20,70.4283,-0.35870588,318.9,317.3,319.1
21,70.47358,6.41756512,319.7,318,320
22,70.25314,18.16161746,320.5,318.7,320.8
23,70.3443,35.45599454,321.3,319.4,321.7
24,70.02793,63.26558706,322.1,320.1,322.6
25,70.29615,90.58778438,323,320.8,323.5
26,70.22847,114.9442255,323.8,321.5,324.5
27,70.31726,139.5983714,324.6,322.3,325.5
28,70.46138,161.249064,325.5,323.1,326.4
29,70.29919,179.1747104,326.4,323.9,327.4
30,70.34594,193.9363724,327.3,324.7,328.4
31,70.507669,207.4796729,328.2,325.5,329.4
32,70.516836,222.2251333,329.2,326.3,330.4
33,70.475747,234.6756279,330.1,327.1,331.4
34,70.447192,245.9126688,331.1,328,332.5
35,70.442535,258.3753865,332,328.9,333.6
36,70.390483,269.9693195,333,329.8,334.6
37,70.285002,282.6982508,334,330.8,335.6
38,70.159745,298.432271,335,331.7,336.6
39,70.07662,312.9993023,336,332.8,337.6
40,70.030138,326.9080254,337,333.8,338.6
41,69.984499,344.2634973,338,334.9,339.6
42,69.944923,359.4221602,339,336,340.7
43,69.834814,375.7905396,340,337.1,341.8
44,69.742591,394.96773,341.1,338.3,342.8
45,69.618588,414.0339048,342.1,339.5,343.7
46,69.502473,432.8200654,343.1,340.7,344.7
47,69.374965,453.7336238,344.1,341.9,345.9
48,69.237528,468.9701956,345.2,343.1,347
49,69.088809,487.8102252,346.2,344.4,347.9
50,68.955099,509.888661,347.2,345.6,348.9
51,68.784718,531.8749427,348.2,346.8,350
52,68.62991,552.7232337,349.2,348,351
53,68.503257,569.6001748,350.2,349.2,351.9
54,68.412016,578.7257728,351.3,350.4,352.9
55,68.250489,588.3819641,352.4,351.6,353.8
56,68.142556,600.8737241,353.4,352.7,354.7
57,67.966858,613.4761126,354.4,353.9,355.7
58,67.815794,623.8406905,355.4,355.1,356.6
59,67.666029,632.1909395,356.4,356.3,357.7
60,67.470796,637.2582898,357.4,357.4,358.5
61,67.310974,648.6339037,358.4,358.6,359.5
62,67.128248,664.0911858,359.4,359.8,360.4
63,66.959995,677.7774352,360.4,361,361.4
64,66.803417,687.8358965,361.4,362.1,362.2
65,66.596107,695.1718417,362.4,363.3,363.1
66,66.432798,704.1227627,363.3,364.5,364
67,66.211736,707.4709034,364.2,365.7,364.8
68,66.012974,708.9893038,365,366.9,365.6
69,65.863941,706.5973887,365.8,368.1,366.4
70,65.649733,709.3207063,366.6,369.2,367.2
71,65.466087,714.7450291,367.3,370.2,368.1
72,65.300631,714.6123281,368.1,371.2,368.9
73,65.102301,720.5746519,368.9,372.2,369.5
74,64.926438,720.9196458,369.7,373.2,370.4
75,64.734236,719.3001897,370.5,374.2,371.2
76,64.538149,724.0382682,371.3,375.2,372.1
77,64.361786,733.1361118,372.2,376.2,373.1
78,64.200243,736.1508348,373.2,377.2,374
79,64.014395,738.9456918,374.1,378.2,375
80,63.819916,741.2542793,375.1,379.2,376
81,63.622926,738.8887789,376,380.3,377.1
82,63.448032,741.9026853,377,381.4,378
83,63.282416,749.9645953,378,382.5,379.1
84,63.076168,760.0808308,379.1,383.6,380.2
85,62.866741,776.0368071,380.1,384.7,381.4
86,62.663063,789.6176816,381.1,385.9,382.6
87,62.488103,800.1703621,382.2,387,383.8
88,62.2411,806.2702569,383.2,388.1,385
89,62.013001,808.1277042,384.4,389.3,386.2
90,61.765392,811.0940139,385.6,390.5,387.5
91,61.59142,815.2117056,386.8,391.6,388.7
92,61.368346,814.7759153,387.9,392.8,389.9
93,61.157127,810.9538454,389.1,394,391.2
94,60.935752,816.5863223,390.2,395.2,392.4
95,60.723111,819.0937466,391.4,396.4,393.7
96,60.484441,818.6501209,392.5,397.6,394.9
97,60.247532,816.4837123,393.7,398.7,396.1
98,60.082882,818.7189912,395,399.9,397.3
99,59.863714,814.7669651,396.1,401.1,398.7
100,59.649441,814.0037922,397.3,402.3,399.7
101,59.422334,810.4821699,398.5,403.6,401
102,59.166041,805.5685805,399.6,404.8,402
103,58.957568,801.5103881,400.9,406,403.4
104,58.733144,801.7031262,402,407.2,404.5
105,58.515417,800.3422354,403.1,408.4,405.8
106,58.258874,803.5030311,404.4,409.6,407
107,58.012138,801.2756392,405.6,410.8,408.4
108,57.805926,799.5687456,406.8,412,409.6
109,57.561692,795.3524744,408,413.2,410.7
110,57.289138,795.6873846,409.2,414.5,412
111,57.037625,798.7056886,410.2,415.7,413.2
112,56.802385,797.5652804,411.3,416.9,414.4
113,56.525075,794.7549129,412.5,418.1,415.7
114,56.299203,794.1799426,413.7,419.3,417
115,56.041527,804.1492664,414.9,420.5,418.3
116,55.804601,814.385961,416.2,421.7,419.5
117,55.598529,823.4904463,417.3,423,420.9
118,55.412141,833.3455266,418.5,424.2,422.3
119,55.176122,838.283178,419.8,425.4,423.7
120,54.933065,839.6589725,421,426.7,425.2
121,54.614392,843.6331219,422.2,427.9,426.5
122,54.331789,850.9544274,423.4,429.2,427.9
123,54.102713,859.8217745,424.7,430.4,429.3
124,53.930541,865.3545265,425.9,431.7,430.7
125,53.638982,874.4120056,427,433,432.2
126,53.371633,875.4381348,428.4,434.2,433.5
127,53.155483,883.4283035,429.6,435.6,435.2
128,52.924482,892.7632008,430.9,436.9,436.8
129,52.63846,892.496397,432.2,438.2,438.3
130,52.344635,888.9445581,433.5,439.5,439.9
131,52.053744,891.743093,434.8,440.9,441.5
132,51.815983,894.8404797,436.1,442.2,443.1
133,51.500746,900.0091474,437.5,443.6,444.7
134,51.213918,903.7258852,438.8,444.9,446.2
135,50.97921,903.4744194,440.1,446.3,447.8
136,50.715611,903.6446151,441.5,447.7,449.4
137,50.399361,902.0747161,442.8,449.1,451.1
138,50.142939,902.616466,444.3,450.5,452.7
139,49.932358,909.5770441,445.8,452,454.4
140,49.678906,908.1568677,447.1,453.4,456.1
141,49.369337,908.5289664,448.4,454.8,457.7
142,49.072492,905.2195572,449.9,456.3,459.4
143,48.837626,907.9699297,451.2,457.8,461.1
144,48.590292,917.0178049,452.6,459.2,462.9
145,48.232406,916.5994384,454,460.7,464.7
146,47.923089,911.8065284,455.3,462.1,466.4
147,47.577004,910.2912494,456.5,463.5,468.1
148,47.297355,909.5972752,457.9,465,469.8
149,47.104561,911.8270352,459.2,466.4,471.5
150,46.808741,910.9140793,460.5,467.9,473.1
151,46.51884,913.5418131,461.5,469.3,474.8
152,46.299737,917.0614867,462.6,470.8,476.4
153,46.022131,918.8155702,463.7,472.2,478.1
154,45.631166,929.9336002,464.6,473.7,479.6
155,45.381572,939.7807099,465.7,475.2,481.2
156,45.013578,944.0991006,467.1,476.6,482.5
157,44.650581,944.8488403,468.4,478.1,483.9
158,44.306785,945.2569049,469.7,479.6,485.4
159,44.063303,940.1688325,471.2,481.1,486.8
160,43.823008,941.0916129,472.6,482.6,488.5
161,43.469551,939.9016721,473.8,484.2,490.1
162,43.103234,940.8400635,475.2,485.8,491.7
163,42.762303,941.904292,476.6,487.2,493
164,42.494557,942.6799602,478.2,488.8,494.4
165,42.277613,949.9899247,479.7,490.3,495.4
166,41.998738,946.8212281,481.2,491.9,496.9
167,41.702141,945.2162266,482.9,493.5,498.2
168,41.405072,945.0802155,484.4,495,499.6
169,41.070164,944.379787,485.9,496.6,501
170,40.763787,947.499657,487.5,498.3,502.5
171,40.494781,947.1547491,489,500.1,504.1
172,40.194526,951.5386032,490.7,501.8,505.6
173,39.856232,954.0806909,492.2,503.5,507.2
174,39.569724,952.595085,493.9,505.4,508.9
175,39.267082,950.1341345,495.6,507.1,510.6
176,38.905748,951.4781425,497.5,509,512.3
177,38.588785,955.5752691,499.3,510.8,514.3
178,38.300108,959.6912022,501,512.7,516.4
179,37.999134,959.9616333,502.7,514.5,518.8
180,37.667721,960.5061624,504.6,516.6,521.1
181,37.403767,965.0889029,506.8,518.4,523.4
182,37.104515,971.9193306,508.7,520.2,525.5
183,36.802622,976.5480976,510.9,522.3,528.4
184,36.499524,976.6132987,513.1,524.5,531
185,36.161399,974.3231954,515.4,526.5,533.8
186,35.770473,973.6985911,517.7,528.5,536.7
187,35.420317,981.3588896,520.1,530.5,539.3
188,35.048368,982.4524433,523,532.5,542.2
189,34.667826,984.798006,525.6,534.6,545.1
190,34.381016,985.7733003,528.5,536.6,548.2
191,34.109464,992.4304925,531.3,538.6,551
192,33.825911,994.3257843,534,540.7,553.8
193,33.389604,994.2074689,536.8,543,556.8
194,33.068097,992.1919472,540.3,545.3,559.8
195,32.70311,984.5428934,543.3,547.6,562.9
196,32.387011,973.7174245,546.3,550.1,566.2
197,32.060941,969.4654563,549.3,552.7,569.3
198,31.783953,964.7931016,552.1,555.4,572.4
199,31.505093,960.3054301,555,558.1,575.8
200,31.142156,956.2436024,557.9,560.9,579.3
201,30.814867,953.9214585,560.7,563.9,582.9
202,30.509016,949.7939709,563.6,566.8,586.5
203,30.17123,947.515322,566.6,569.9,590.1
204,29.86872,951.0102448,569.3,573.3,593.7
205,29.593928,956.9878147,572.2,576.8,597.4
206,29.346083,963.2092348,575.2,580.3,601.2
207,28.972713,971.2785651,578.4,583.7,605
208,28.555517,976.8497815,581.4,587.2,608.9
209,28.253599,973.9827966,584.8,590.7,613.2
210,27.960419,973.9975051,587.9,594.3,617.7
211,27.703169,971.1075112,591.3,597.7,622.5
212,27.442253,964.3458654,594.8,601.1,627.7
213,27.053751,962.6132383,598.4,604.6,632.9
214,26.746774,963.3055275,602.3,608.1,638.3
215,26.426083,960.3962735,606.1,611.2,644.3
216,26.069376,965.0093615,610,614.5,652.2
217,25.721985,968.5454856,614,617.9,661.4
218,25.404404,976.1619598,618.2,621.3,672.2
219,25.050405,980.6701967,622.5,625,684.8
220,24.637268,985.2020113,626.9,629.1,699.4
221,24.255375,988.6099636,631.4,633.3,714.2
222,23.935835,991.2360415,635.7,637.3,730.2
223,23.672188,990.9638595,640.3,642.1,745.7
224,23.375985,990.2629928,646.3,647.8,759.3
225,23.077276,993.4775,653.2,654.4,772
226,22.757172,1001.271179,661,661.1,783
227,22.4737,1008.581758,669.8,668,792.5
228,22.106652,1016.353166,680.4,675.9,801.1
229,21.66117,1020.504042,691.2,683.8,809
230,21.262261,1020.416783,702.4,692.3,816.1
231,20.91298,1023.595931,714,701.3,822.7
232,20.588113,1022.969456,723.8,710.1,828.7
233,20.306746,1030.567957,734.2,718,834.3
234,20.003111,1037.514479,745.7,725.7,839.3
235,19.686748,1037.153629,757.6,733.1,844.4
236,19.379992,1030.550282,769.6,739.9,849.2
237,19.05091,1020.460066,779.5,746.6,853.9
238,18.722246,1008.927301,787.7,753.4,858.5
239,18.461885,990.2109218,795.2,760.5,862.8
240,18.265624,962.912448,801.7,767.2,867.2
241,18.091775,936.1568706,807.7,773.7,871.4
242,17.806339,908.5390087,813.3,780.3,875.6
243,17.488904,878.8690775,818.8,786.9,879.7
244,17.150846,848.7900492,824.1,793.4,883.8
245,16.902475,825.3456891,829.4,799.8,887.9
246,16.723442,795.709606,834.5,806.2,891.4
247,16.508288,767.7210071,839.5,812.4,895
248,16.212912,741.3690208,844.1,818.5,898.6
249,15.930937,708.2308735,848.6,824.7,902
250,15.589108,678.5289658,853,831,905.3
251,15.310439,655.7154438,857.2,837.2,908.5
252,15.135728,637.1393038,861.1,843.6,911.7
253,14.899603,620.329714,865,849.5,915.9
254,14.722083,606.8447148,868.7,853.8,918.7
255,14.559508,592.4534305,872,858.9,920.8
256,14.419725,578.781186,875.4,863.9,922.6
257,14.135492,566.224475,878.7,868.9,925.2
258,13.875505,557.0718247,881.8,873.1,928.1
259,13.716976,546.7662685,884.9,877.3,930.7
260,13.586625,534.6580822,887.9,880.6,933.8
261,13.450033,523.4619661,890.5,883.3,936.6
262,13.151814,514.0668962,893.3,886.2,939.2
263,13.025676,505.8207282,896.1,889.4,941.1
264,12.877868,496.8854885,898.4,891.8,943.7
265,12.703315,488.6382564,900.9,894.7,946.1
266,12.558766,484.0495302,903.4,897.6,948.3
267,12.429214,481.274149,905.6,900.1,949.3
268,12.309885,473.0028222,907.8,902.5,950
269,12.129811,462.8817164,909.7,904.8,951.5
270,11.980207,451.0798065,911.6,907.2,952.7
271,11.896679,441.6501182,913.4,909.2,954.4
272,11.698946,434.0122697,915.1,911.1,956
273,11.572457,425.3193141,916.6,912.6,957.4
274,11.424654,416.876204,918,914.1,958.5
275,11.29212,409.6573533,919.5,915.8,959.7
276,10.947578,404.4164628,920.7,917.4,960.8
277,10.711236,398.5370479,922,918.8,961.7
278,10.648346,396.1859049,923.3,920.3,962.5
279,10.5092,394.7945618,924.4,921.8,963.8
280,10.402561,393.7694931,925.8,923.7,965
281,10.333992,393.4651531,927,925.4,965.5
282,10.156429,392.2063074,928.1,926.9,966.3
283,9.97441,385.8800118,929.3,928.5,967.5
284,9.796167,378.5982738,930.4,929.9,969
285,9.61755,372.8255122,931.4,931.3,970.3
286,9.476884,368.5455861,932.5,933,971
287,9.299726,367.3264699,933.5,934.6,972
288,9.239637,365.5036706,934.5,935.7,973
289,9.104182,363.8914646,935.4,936.7,973.4
290,9.015041,361.7623893,936.3,937.8,974.3
