##Temp./?C,Time/min,DSC/(uV/mg),Mass/%,Gas Flow(purge2)/(ml/min),Gas Flow(protective)/(ml/min),DTG/(%/min),Sensit./(uV/mW)
39.979,0,-3.40E-03,100,0.00E+00,70,6.15784,1
40.479,0.67557,-1.74E-02,100,0.00E+00,70,-0.15823,1
40.979,0.88601,-2.43E-02,99.93101,0.00E+00,70,-0.39217,1
41.479,1.04133,-3.04E-02,99.85115,0.00E+00,70,-0.45203,1
41.979,1.16994,-3.48E-02,99.79007,0.00E+00,70,-0.46019,1
42.479,1.282,-3.96E-02,99.72517,0.00E+00,70,-0.4415,1
42.979,1.38296,-4.16E-02,99.67422,0.00E+00,70,-0.41055,1
43.479,1.47622,-4.51E-02,99.64558,0.00E+00,70,-0.37717,1
43.979,1.56428,-4.63E-02,99.63279,0.00E+00,70,-0.34657,1
44.479,1.64853,-4.79E-02,99.58869,0.00E+00,70,-0.32075,1
44.979,1.7299,-4.91E-02,99.55985,0.00E+00,70,-0.29997,1
45.479,1.80861,-4.94E-02,99.54373,0.00E+00,70,-0.28391,1
45.979,1.88487,-4.87E-02,99.52931,0.00E+00,70,-0.27174,1
46.479,1.95902,-5.06E-02,99.51505,0.00E+00,70,-0.26208,1
46.979,2.03129,-4.97E-02,99.48601,0.00E+00,70,-0.25321,1
47.479,2.1022,-4.89E-02,99.47448,0.00E+00,70,-0.24349,1
47.979,2.17179,-4.81E-02,99.45354,0.00E+00,70,-0.23203,1
48.479,2.24014,-4.86E-02,99.42646,0.00E+00,70,-0.21901,1
48.979,2.30757,-4.82E-02,99.41879,0.00E+00,70,-0.20556,1
49.479,2.37416,-4.75E-02,99.40718,0.00E+00,70,-0.19341,1
49.979,2.44001,-4.74E-02,99.39376,0.00E+00,70,-0.18414,1
50.479,2.50549,-4.78E-02,99.3868,0.00E+00,70,-0.17855,1
50.979,2.57026,-4.69E-02,99.38353,0.00E+00,70,-0.1764,1
51.479,2.63427,-4.67E-02,99.376,0.00E+00,70,-0.17641,1
51.979,2.69769,-4.66E-02,99.36643,0.00E+00,70,-0.17681,1
52.479,2.76021,-4.61E-02,99.34702,0.00E+00,70,-0.17604,1
52.979,2.82191,-4.70E-02,99.32049,0.00E+00,70,-0.17327,1
53.479,2.88293,-4.71E-02,99.3148,0.00E+00,70,-0.16856,1
53.979,2.9432,-4.75E-02,99.30384,0.00E+00,70,-0.16269,1
54.479,3.00289,-4.76E-02,99.29906,0.00E+00,70,-0.15673,1
54.979,3.06213,-4.81E-02,99.29629,0.00E+00,70,-0.15166,1
55.479,3.12084,-4.88E-02,99.29178,0.00E+00,70,-0.14809,1
55.979,3.17897,-4.94E-02,99.27649,0.00E+00,70,-0.14621,1
56.479,3.23644,-5.14E-02,99.26658,0.00E+00,70,-0.14588,1
56.979,3.29331,-5.24E-02,99.26161,0.00E+00,70,-0.14684,1
57.479,3.34957,-5.31E-02,99.2547,0.00E+00,70,-0.14889,1
57.979,3.40523,-5.29E-02,99.24637,0.00E+00,70,-0.15196,1
58.479,3.46024,-5.57E-02,99.23657,0.00E+00,70,-0.15612,1
58.979,3.51465,-5.63E-02,99.22582,0.00E+00,70,-0.16149,1
59.479,3.56833,-5.78E-02,99.21774,0.00E+00,70,-0.16806,1
59.979,3.62148,-5.92E-02,99.21363,0.00E+00,70,-0.17568,1
60.479,3.67409,-6.02E-02,99.20813,0.00E+00,70,-0.18394,1
60.979,3.72618,-6.16E-02,99.19935,0.00E+00,70,-0.19219,1
61.479,3.77784,-6.37E-02,99.19016,0.00E+00,70,-0.1997,1
61.979,3.82902,-6.54E-02,99.1771,0.00E+00,70,-0.20572,1
62.479,3.87973,-6.68E-02,99.16092,0.00E+00,70,-0.20969,1
62.979,3.93009,-6.84E-02,99.14449,0.00E+00,70,-0.21134,1
63.479,3.98009,-7.03E-02,99.13001,0.00E+00,70,-0.2107,1
63.979,4.02974,-7.22E-02,99.12164,0.00E+00,70,-0.2081,1
64.479,4.0791,-7.35E-02,99.11149,0.00E+00,70,-0.2041,1
64.979,4.12807,-7.49E-02,99.10007,0.00E+00,70,-0.19935,1
65.479,4.17662,-7.71E-02,99.09181,0.00E+00,70,-0.1945,1
65.979,4.22477,-7.84E-02,99.0864,0.00E+00,70,-0.19007,1
66.479,4.27255,-7.94E-02,99.08018,0.00E+00,70,-0.18638,1
66.979,4.31995,-8.15E-02,99.07169,0.00E+00,70,-0.1836,1
67.479,4.36701,-8.40E-02,99.06296,0.00E+00,70,-0.1817,1
67.979,4.41376,-8.55E-02,99.05196,0.00E+00,70,-0.18056,1
68.479,4.46024,-8.61E-02,99.04251,0.00E+00,70,-0.18001,1
68.979,4.50651,-8.89E-02,99.03733,0.00E+00,70,-0.17984,1
69.479,4.55253,-9.02E-02,99.0313,0.00E+00,70,-0.17991,1
69.979,4.59839,-9.29E-02,99.0221,0.00E+00,70,-0.18016,1
70.479,4.64405,-9.41E-02,99.01682,0.00E+00,70,-0.18063,1
70.979,4.68956,-9.65E-02,99.00258,0.00E+00,70,-0.18144,1
71.479,4.73484,-9.80E-02,98.98567,0.00E+00,70,-0.18282,1
71.979,4.7799,-9.96E-02,98.98058,0.00E+00,70,-0.18503,1
72.479,4.82477,-0.10238,98.98052,0.00E+00,70,-0.18832,1
72.979,4.86951,-0.10406,98.97608,0.00E+00,70,-0.19291,1
73.479,4.91415,-0.10509,98.96849,0.00E+00,70,-0.1989,1
73.979,4.95864,-0.10768,98.95929,0.00E+00,70,-0.20626,1
74.479,5.00301,-0.11007,98.94941,0.00E+00,70,-0.21479,1
74.979,5.04731,-0.11136,98.94065,0.00E+00,70,-0.22415,1
75.479,5.09144,-0.11378,98.93208,0.00E+00,70,-0.23385,1
75.979,5.13535,-0.11615,98.92173,0.00E+00,70,-0.24331,1
76.479,5.17905,-0.11822,98.90989,0.00E+00,70,-0.25196,1
76.979,5.22263,-0.11999,98.8985,0.00E+00,70,-0.25927,1
77.479,5.2661,-0.12212,98.88793,0.00E+00,70,-0.26479,1
77.979,5.30944,-0.12457,98.87492,0.00E+00,70,-0.2682,1
78.479,5.35271,-0.12666,98.85582,0.00E+00,70,-0.2694,1
78.979,5.3959,-0.12997,98.83415,0.00E+00,70,-0.26841,1
79.479,5.43909,-0.13244,98.82086,0.00E+00,70,-0.26546,1
79.979,5.48216,-0.13434,98.81406,0.00E+00,70,-0.26092,1
80.479,5.52509,-0.13725,98.80649,0.00E+00,70,-0.25524,1
80.979,5.56793,-0.14025,98.79497,0.00E+00,70,-0.24886,1
81.479,5.61065,-0.14296,98.78253,0.00E+00,70,-0.24222,1
81.979,5.65326,-0.14614,98.77371,0.00E+00,70,-0.23565,1
82.479,5.6958,-0.14816,98.76753,0.00E+00,70,-0.22938,1
82.979,5.73827,-0.15128,98.75845,0.00E+00,70,-0.22351,1
83.479,5.78064,-0.15417,98.74874,0.00E+00,70,-0.21803,1
83.979,5.82291,-0.15742,98.73948,0.00E+00,70,-0.21287,1
84.479,5.86515,-0.16104,98.72988,0.00E+00,70,-0.2079,1
84.979,5.90731,-0.16389,98.72081,0.00E+00,70,-0.20299,1
85.479,5.9493,-0.16704,98.71368,0.00E+00,70,-0.19805,1
85.979,5.99119,-0.17163,98.70662,0.00E+00,70,-0.19305,1
86.479,6.03304,-0.17485,98.6972,0.00E+00,70,-0.18802,1
86.979,6.07485,-0.17812,98.68502,0.00E+00,70,-0.1831,1
87.479,6.11658,-0.18227,98.6735,0.00E+00,70,-0.17848,1
87.979,6.15822,-0.18585,98.66699,0.00E+00,70,-0.17438,1
88.479,6.19985,-0.18901,98.66528,0.00E+00,70,-0.17099,1
88.979,6.24149,-0.19349,98.66248,0.00E+00,70,-0.16848,1
89.479,6.28302,-0.19676,98.65695,0.00E+00,70,-0.16691,1
89.979,6.32446,-0.20062,98.64988,0.00E+00,70,-0.16621,1
90.479,6.36585,-0.20455,98.64288,0.00E+00,70,-0.16619,1
90.979,6.40721,-0.20788,98.63718,0.00E+00,70,-0.16655,1
91.479,6.44853,-0.21302,98.63321,0.00E+00,70,-0.16692,1
91.979,6.48977,-0.21782,98.6288,0.00E+00,70,-0.16689,1
92.479,6.53102,-0.22123,98.61861,0.00E+00,70,-0.16612,1
92.979,6.57227,-0.22523,98.60817,0.00E+00,70,-0.16431,1
93.479,6.6135,-0.22961,98.59862,0.00E+00,70,-0.16136,1
93.979,6.65469,-0.23332,98.58569,0.00E+00,70,-0.15729,1
94.479,6.69582,-0.23809,98.5733,0.00E+00,70,-0.15228,1
94.979,6.73687,-0.24323,98.56818,0.00E+00,70,-0.14666,1
95.479,6.77788,-0.24716,98.56591,0.00E+00,70,-0.14081,1
95.979,6.81886,-0.25077,98.56461,0.00E+00,70,-0.13515,1
96.479,6.85981,-0.25507,98.56311,0.00E+00,70,-0.13002,1
96.979,6.9007,-0.25957,98.5587,0.00E+00,70,-0.12573,1
97.479,6.94163,-0.26408,98.55348,0.00E+00,70,-0.12242,1
97.979,6.98265,-0.26825,98.55007,0.00E+00,70,-0.12016,1
98.479,7.02372,-0.27209,98.54691,0.00E+00,70,-0.11886,1
98.979,7.06476,-0.27678,98.54184,0.00E+00,70,-0.11838,1
99.479,7.10578,-0.28166,98.53571,0.00E+00,70,-0.11848,1
99.979,7.14685,-0.28465,98.53069,0.00E+00,70,-0.11892,1
100.479,7.18791,-0.28886,98.52565,0.00E+00,70,-0.11945,1
100.979,7.22889,-0.29361,98.52052,0.00E+00,70,-0.11983,1
101.479,7.2698,-0.29808,98.51555,0.00E+00,70,-0.11988,1
101.979,7.31074,-0.30218,98.51027,0.00E+00,70,-0.11947,1
102.479,7.35175,-0.30626,98.50403,0.00E+00,70,-0.11851,1
102.979,7.39279,-0.31108,98.49777,0.00E+00,70,-0.11692,1
103.479,7.43379,-0.31554,98.49366,0.00E+00,70,-0.1147,1
103.979,7.47485,-0.31942,98.48833,0.00E+00,70,-0.11184,1
104.479,7.51601,-0.32328,98.48254,0.00E+00,70,-0.10836,1
104.979,7.55719,-0.32737,98.47906,0.00E+00,70,-0.10431,1
105.479,7.59835,-0.33124,98.476,0.00E+00,70,-9.98E-02,1
105.979,7.6395,-0.33454,98.47095,0.00E+00,70,-9.48E-02,1
106.479,7.6807,-0.33843,98.46645,0.00E+00,70,-8.96E-02,1
106.979,7.72192,-0.34237,98.46265,0.00E+00,70,-8.44E-02,1
107.479,7.76314,-0.34614,98.4582,0.00E+00,70,-7.93E-02,1
107.979,7.80438,-0.35048,98.45299,0.00E+00,70,-7.45E-02,1
108.479,7.84566,-0.35503,98.44882,0.00E+00,70,-7.04E-02,1
108.979,7.88699,-0.35887,98.4484,0.00E+00,70,-6.70E-02,1
109.479,7.92838,-0.36255,98.44868,0.00E+00,70,-6.45E-02,1
109.979,7.96984,-0.36637,98.44857,0.00E+00,70,-6.28E-02,1
110.479,8.01134,-0.37004,98.44861,0.00E+00,70,-6.18E-02,1
110.979,8.05288,-0.37369,98.44859,0.00E+00,70,-6.12E-02,1
111.479,8.09443,-0.37767,98.44859,0.00E+00,70,-6.09E-02,1
111.979,8.136,-0.38072,98.44775,0.00E+00,70,-6.03E-02,1
112.479,8.17757,-0.38406,98.43988,0.00E+00,70,-5.92E-02,1
112.979,8.21914,-0.38802,98.42921,0.00E+00,70,-5.74E-02,1
113.479,8.26071,-0.392,98.4225,0.00E+00,70,-5.46E-02,1
113.979,8.3023,-0.39593,98.41868,0.00E+00,70,-5.10E-02,1
114.479,8.34393,-0.39983,98.41714,0.00E+00,70,-4.64E-02,1
114.979,8.38559,-0.403,98.42368,0.00E+00,70,-4.13E-02,1
115.479,8.42727,-0.40658,98.42274,0.00E+00,70,-3.58E-02,1
115.979,8.46897,-0.41102,98.41669,0.00E+00,70,-3.03E-02,1
116.479,8.51071,-0.4148,98.41499,0.00E+00,70,-2.50E-02,1
116.979,8.55254,-0.41744,98.41521,0.00E+00,70,-2.03E-02,1
117.479,8.59444,-0.42129,98.41626,0.00E+00,70,-1.61E-02,1
117.979,8.63639,-0.42461,98.41729,0.00E+00,70,-1.28E-02,1
118.479,8.67839,-0.42858,98.41846,0.00E+00,70,-1.02E-02,1
118.979,8.72047,-0.43221,98.41895,0.00E+00,70,-8.28E-03,1
119.479,8.76259,-0.43489,98.41893,0.00E+00,70,-7.05E-03,1
119.979,8.80467,-0.43828,98.41879,0.00E+00,70,-6.39E-03,1
120.479,8.84673,-0.44206,98.41767,0.00E+00,70,-6.22E-03,1
120.979,8.88881,-0.44416,98.41784,0.00E+00,70,-6.52E-03,1
121.479,8.93095,-0.44773,98.41569,0.00E+00,70,-7.28E-03,1
121.979,8.97309,-0.45258,98.41197,0.00E+00,70,-8.53E-03,1
122.479,9.01522,-0.45639,98.41255,0.00E+00,70,-1.03E-02,1
122.979,9.05742,-0.45942,98.41698,0.00E+00,70,-1.26E-02,1
123.479,9.09973,-0.46351,98.41765,0.00E+00,70,-1.54E-02,1
123.979,9.14207,-0.46754,98.41648,0.00E+00,70,-1.86E-02,1
124.479,9.18438,-0.47038,98.41714,0.00E+00,70,-2.20E-02,1
124.979,9.22671,-0.4738,98.41825,0.00E+00,70,-2.53E-02,1
125.479,9.26914,-0.47712,98.4196,0.00E+00,70,-2.83E-02,1
125.979,9.31156,-0.48041,98.41734,0.00E+00,70,-3.05E-02,1
126.479,9.35386,-0.48475,98.40965,0.00E+00,70,-3.19E-02,1
126.979,9.39614,-0.48781,98.40564,0.00E+00,70,-3.23E-02,1
127.479,9.43848,-0.49147,98.40045,0.00E+00,70,-3.18E-02,1
127.979,9.48086,-0.49522,98.39647,0.00E+00,70,-3.03E-02,1
128.479,9.5232,-0.49864,98.39429,0.00E+00,70,-2.81E-02,1
128.979,9.56559,-0.50176,98.39486,0.00E+00,70,-2.55E-02,1
129.479,9.60817,-0.5049,98.3986,0.00E+00,70,-2.27E-02,1
129.979,9.65084,-0.50857,98.40158,0.00E+00,70,-1.98E-02,1
130.479,9.69351,-0.51213,98.40169,0.00E+00,70,-1.71E-02,1
130.979,9.73622,-0.51555,98.40059,0.00E+00,70,-1.46E-02,1
131.479,9.77902,-0.51887,98.39987,0.00E+00,70,-1.22E-02,1
131.979,9.82188,-0.52256,98.3974,0.00E+00,70,-9.92E-03,1
132.479,9.86474,-0.52637,98.39492,0.00E+00,70,-7.73E-03,1
132.979,9.90761,-0.52936,98.39363,0.00E+00,70,-5.67E-03,1
133.479,9.95057,-0.53168,98.39038,0.00E+00,70,-3.84E-03,1
133.979,9.99357,-0.53492,98.39133,0.00E+00,70,-2.44E-03,1
134.479,10.03656,-0.54021,98.39329,0.00E+00,70,-1.70E-03,1
134.979,10.07956,-0.54358,98.39654,0.00E+00,70,-1.91E-03,1
135.479,10.12258,-0.5454,98.39817,0.00E+00,70,-3.31E-03,1
135.979,10.16559,-0.54847,98.39775,0.00E+00,70,-6.07E-03,1
136.479,10.2086,-0.55254,98.39783,0.00E+00,70,-1.02E-02,1
136.979,10.25163,-0.55595,98.39784,0.00E+00,70,-1.56E-02,1
137.479,10.2947,-0.55906,98.39884,0.00E+00,70,-2.20E-02,1
137.979,10.33783,-0.56184,98.40106,0.00E+00,70,-2.90E-02,1
138.479,10.38103,-0.56485,98.40217,0.00E+00,70,-3.60E-02,1
138.979,10.4243,-0.5686,98.40418,0.00E+00,70,-4.23E-02,1
139.479,10.46765,-0.57169,98.40161,0.00E+00,70,-4.75E-02,1
139.979,10.51108,-0.57468,98.39137,0.00E+00,70,-5.10E-02,1
140.479,10.55454,-0.57884,98.38057,0.00E+00,70,-5.26E-02,1
140.979,10.59803,-0.58139,98.37088,0.00E+00,70,-5.22E-02,1
141.479,10.64158,-0.58525,98.36815,0.00E+00,70,-5.00E-02,1
141.979,10.68517,-0.58895,98.3681,0.00E+00,70,-4.63E-02,1
142.479,10.7288,-0.59145,98.36815,0.00E+00,70,-4.17E-02,1
142.979,10.77246,-0.59371,98.36804,0.00E+00,70,-3.66E-02,1
143.479,10.8162,-0.59696,98.36838,0.00E+00,70,-3.17E-02,1
143.979,10.86001,-0.60125,98.3697,0.00E+00,70,-2.72E-02,1
144.479,10.90387,-0.605,98.37058,0.00E+00,70,-2.34E-02,1
144.979,10.94775,-0.607,98.36944,0.00E+00,70,-2.04E-02,1
145.479,10.99165,-0.61004,98.36819,0.00E+00,70,-1.82E-02,1
145.979,11.0356,-0.61354,98.36828,0.00E+00,70,-1.66E-02,1
146.479,11.07955,-0.617,98.36678,0.00E+00,70,-1.54E-02,1
146.979,11.12352,-0.61991,98.36475,0.00E+00,70,-1.45E-02,1
147.479,11.16754,-0.62289,98.36451,0.00E+00,70,-1.38E-02,1
147.979,11.21164,-0.62646,98.36398,0.00E+00,70,-1.32E-02,1
148.479,11.25582,-0.62948,98.36167,0.00E+00,70,-1.29E-02,1
148.979,11.30006,-0.63197,98.36069,0.00E+00,70,-1.28E-02,1
149.479,11.34438,-0.63511,98.36062,0.00E+00,70,-1.31E-02,1
149.979,11.38875,-0.6386,98.36158,0.00E+00,70,-1.40E-02,1
150.479,11.4332,-0.64097,98.36288,0.00E+00,70,-1.57E-02,1
150.979,11.4777,-0.64395,98.36322,0.00E+00,70,-1.81E-02,1
151.479,11.5222,-0.64735,98.36324,0.00E+00,70,-2.13E-02,1
151.979,11.56675,-0.65049,98.36284,0.00E+00,70,-2.52E-02,1
152.479,11.61135,-0.65351,98.36167,0.00E+00,70,-2.97E-02,1
152.979,11.65599,-0.65594,98.36045,0.00E+00,70,-3.45E-02,1
153.479,11.70068,-0.65903,98.35818,0.00E+00,70,-3.94E-02,1
153.979,11.74546,-0.66221,98.35598,0.00E+00,70,-4.42E-02,1
154.479,11.79033,-0.66436,98.35356,0.00E+00,70,-4.86E-02,1
154.979,11.83526,-0.66709,98.35275,0.00E+00,70,-5.26E-02,1
155.479,11.88027,-0.67029,98.34854,0.00E+00,70,-5.59E-02,1
155.979,11.92532,-0.67329,98.34304,0.00E+00,70,-5.86E-02,1
156.479,11.97044,-0.67614,98.33924,0.00E+00,70,-6.07E-02,1
156.979,12.01564,-0.67869,98.33628,0.00E+00,70,-6.25E-02,1
157.479,12.06092,-0.68101,98.33422,0.00E+00,70,-6.41E-02,1
157.979,12.1063,-0.68349,98.33178,0.00E+00,70,-6.60E-02,1
158.479,12.1517,-0.68591,98.32838,0.00E+00,70,-6.83E-02,1
158.979,12.19716,-0.68902,98.32613,0.00E+00,70,-7.13E-02,1
159.479,12.24263,-0.69175,98.32402,0.00E+00,70,-7.51E-02,1
159.979,12.28805,-0.69405,98.32058,0.00E+00,70,-7.98E-02,1
160.479,12.33346,-0.69667,98.31881,0.00E+00,70,-8.50E-02,1
160.979,12.3789,-0.69907,98.31828,0.00E+00,70,-9.06E-02,1
161.479,12.42439,-0.70131,98.3194,0.00E+00,70,-9.59E-02,1
161.979,12.46993,-0.70333,98.31179,0.00E+00,70,-0.10051,1
162.479,12.51561,-0.70523,98.30011,0.00E+00,70,-0.10384,1
162.979,12.56146,-0.70808,98.2959,0.00E+00,70,-0.10549,1
163.479,12.60735,-0.71112,98.28604,0.00E+00,70,-0.10524,1
163.979,12.65333,-0.71309,98.27711,0.00E+00,70,-0.10313,1
164.479,12.69935,-0.71591,98.26916,0.00E+00,70,-9.95E-02,1
164.979,12.74546,-0.71823,98.26436,0.00E+00,70,-9.48E-02,1
165.479,12.79148,-0.72124,98.26308,0.00E+00,70,-8.98E-02,1
165.979,12.83761,-0.7231,98.26113,0.00E+00,70,-8.53E-02,1
166.479,12.88381,-0.72554,98.25856,0.00E+00,70,-8.20E-02,1
166.979,12.93006,-0.72805,98.2572,0.00E+00,70,-8.05E-02,1
167.479,12.97633,-0.7303,98.25552,0.00E+00,70,-8.13E-02,1
167.979,13.02268,-0.73301,98.25295,0.00E+00,70,-8.44E-02,1
168.479,13.06909,-0.73538,98.25118,0.00E+00,70,-8.99E-02,1
168.979,13.11546,-0.73698,98.25008,0.00E+00,70,-9.72E-02,1
169.479,13.1619,-0.73941,98.24909,0.00E+00,70,-0.10597,1
169.979,13.20838,-0.74304,98.24544,0.00E+00,70,-0.1154,1
170.479,13.2549,-0.74593,98.23606,0.00E+00,70,-0.12478,1
170.979,13.30146,-0.74765,98.22915,0.00E+00,70,-0.1335,1
171.479,13.34818,-0.74977,98.21748,0.00E+00,70,-0.14111,1
171.979,13.39494,-0.7521,98.20923,0.00E+00,70,-0.14737,1
172.479,13.44176,-0.75517,98.20026,0.00E+00,70,-0.15236,1
172.979,13.48866,-0.75702,98.18991,0.00E+00,70,-0.15639,1
173.479,13.53562,-0.7592,98.17977,0.00E+00,70,-0.15999,1
173.979,13.58255,-0.76244,98.17448,0.00E+00,70,-0.16376,1
174.479,13.62946,-0.76369,98.17261,0.00E+00,70,-0.16824,1
174.979,13.67639,-0.76613,98.16823,0.00E+00,70,-0.17382,1
175.479,13.72336,-0.76965,98.16207,0.00E+00,70,-0.18065,1
175.979,13.77034,-0.77139,98.15272,0.00E+00,70,-0.18853,1
176.479,13.81739,-0.77346,98.14196,0.00E+00,70,-0.19701,1
176.979,13.86456,-0.77608,98.1364,0.00E+00,70,-0.20542,1
177.479,13.91184,-0.77854,98.13139,0.00E+00,70,-0.21298,1
177.979,13.95918,-0.78153,98.11963,0.00E+00,70,-0.21895,1
178.479,14.00656,-0.78355,98.09928,0.00E+00,70,-0.2228,1
178.979,14.05394,-0.78545,98.08178,0.00E+00,70,-0.22433,1
179.479,14.10128,-0.78781,98.06311,0.00E+00,70,-0.22369,1
179.979,14.14859,-0.79058,98.0526,0.00E+00,70,-0.22139,1
180.479,14.19587,-0.79303,98.04669,0.00E+00,70,-0.21818,1
180.979,14.24315,-0.79495,98.04002,0.00E+00,70,-0.21492,1
181.479,14.29049,-0.79673,98.03051,0.00E+00,70,-0.21242,1
181.979,14.33791,-0.79944,98.02422,0.00E+00,70,-0.21135,1
182.479,14.38536,-0.80225,98.01658,0.00E+00,70,-0.21212,1
182.979,14.43283,-0.80421,98.00914,0.00E+00,70,-0.21485,1
183.479,14.48039,-0.80654,98.001,0.00E+00,70,-0.21944,1
183.979,14.52796,-0.80837,97.98974,0.00E+00,70,-0.22562,1
184.479,14.57549,-0.81068,97.97856,0.00E+00,70,-0.23306,1
184.979,14.62305,-0.81324,97.96749,0.00E+00,70,-0.24147,1
185.479,14.67072,-0.8147,97.95224,0.00E+00,70,-0.25069,1
185.979,14.71841,-0.8165,97.93716,0.00E+00,70,-0.26062,1
186.479,14.7661,-0.8193,97.92591,0.00E+00,70,-0.27121,1
186.979,14.81394,-0.82178,97.91411,0.00E+00,70,-0.28247,1
187.479,14.86187,-0.82359,97.90393,0.00E+00,70,-0.29431,1
187.979,14.90982,-0.82636,97.89424,0.00E+00,70,-0.30649,1
188.479,14.95776,-0.82824,97.88172,0.00E+00,70,-0.31868,1
188.979,15.00581,-0.83043,97.86759,0.00E+00,70,-0.33048,1
189.479,15.05381,-0.83171,97.84804,0.00E+00,70,-0.34144,1
189.979,15.1017,-0.83431,97.81254,0.00E+00,70,-0.35116,1
190.479,15.14957,-0.83684,97.80112,0.00E+00,70,-0.35943,1
190.979,15.19748,-0.83901,97.78705,0.00E+00,70,-0.3662,1
